name,type,time,amount
SplashandDash,Services,2016-05-13T20:27:00Z,1
SplashandDash,Services,2016-05-13T20:27:00Z,-0
SplashandDash,Services,2016-05-16T19:31:00Z,23.58
SplashandDash,Services,2016-05-16T17:09:00Z,18.87
SplashandDash,Services,2016-05-16T17:47:00Z,23.58
SplashandDash,Services,2016-05-16T17:50:00Z,23.58
SplashandDash,Services,2016-05-16T21:23:00Z,18.87
SplashandDash,Services,2016-05-16T21:31:00Z,14.15
SplashandDash,Services,2016-05-16T21:33:00Z,47.17
SplashandDash,Services,2016-05-16T21:36:00Z,47.17
SplashandDash,Services,2016-05-16T14:47:00Z,-1
SplashandDash,Services,2016-05-16T14:47:00Z,-0
SplashandDash,Services,2016-05-17T19:37:00Z,30
SplashandDash,Services,2016-05-17T19:53:00Z,80
SplashandDash,Services,2016-05-17T16:42:00Z,20
SplashandDash,Services,2016-05-17T17:38:00Z,25
SplashandDash,Services,2016-05-17T18:03:00Z,20
SplashandDash,Services,2016-05-17T18:05:00Z,20
SplashandDash,Services,2016-05-17T18:59:00Z,20
SplashandDash,Services,2016-05-17T20:14:00Z,25
SplashandDash,Services,2016-05-17T21:22:00Z,1
SplashandDash,Services,2016-05-17T21:25:00Z,25
SplashandDash,Services,2016-05-17T21:27:00Z,20
SplashandDash,Services,2016-05-17T21:40:00Z,40
SplashandDash,Services,2016-05-17T22:16:00Z,10
SplashandDash,Services,2016-05-17T22:27:00Z,10
SplashandDash,Services,2016-05-17T15:20:00Z,5
SplashandDash,Services,2016-05-18T19:16:00Z,25
SplashandDash,Services,2016-05-18T19:21:00Z,40
SplashandDash,Services,2016-05-18T19:35:00Z,25
SplashandDash,Services,2016-05-18T19:38:00Z,20
SplashandDash,Services,2016-05-18T19:56:00Z,7
SplashandDash,Services,2016-05-18T17:57:00Z,20
SplashandDash,Services,2016-05-18T18:18:00Z,12
SplashandDash,Services,2016-05-18T18:20:00Z,12
SplashandDash,Services,2016-05-18T18:24:00Z,16
SplashandDash,Services,2016-05-18T18:53:00Z,5
SplashandDash,Services,2016-05-18T18:59:00Z,30
SplashandDash,Services,2016-05-18T20:07:00Z,22
SplashandDash,Services,2016-05-18T20:07:00Z,6
SplashandDash,Services,2016-05-18T20:14:00Z,36
SplashandDash,Services,2016-05-18T20:22:00Z,50
SplashandDash,Services,2016-05-19T17:28:00Z,20
SplashandDash,Services,2016-05-19T17:34:00Z,20
SplashandDash,Services,2016-05-20T19:25:00Z,25
SplashandDash,Services,2016-05-20T19:29:00Z,22.5
SplashandDash,Services,2016-05-20T19:43:00Z,70
SplashandDash,Services,2016-05-20T19:50:00Z,125
SplashandDash,Services,2016-05-20T17:45:00Z,25
SplashandDash,Services,2016-05-20T17:46:00Z,20
SplashandDash,Services,2016-05-20T18:01:00Z,25
SplashandDash,Services,2016-05-20T18:29:00Z,70
SplashandDash,Services,2016-05-20T18:50:00Z,30
SplashandDash,Services,2016-05-20T20:04:00Z,25
SplashandDash,Services,2016-05-20T20:05:00Z,20
SplashandDash,Services,2016-05-20T20:21:00Z,40
SplashandDash,Services,2016-05-20T20:25:00Z,15
SplashandDash,Services,2016-05-20T20:42:00Z,10
SplashandDash,Services,2016-05-21T19:23:00Z,8
SplashandDash,Services,2016-05-21T19:25:00Z,8
SplashandDash,Services,2016-05-21T18:22:00Z,23
SplashandDash,Services,2016-05-21T21:10:00Z,15
SplashandDash,Services,2016-05-23T16:14:00Z,-8
SplashandDash,Services,2016-05-23T16:16:00Z,-1.75
SplashandDash,Services,2016-05-23T18:33:00Z,25
SplashandDash,Services,2016-05-23T21:18:00Z,20
SplashandDash,Services,2016-05-23T22:05:00Z,20
SplashandDash,Services,2016-05-23T22:08:00Z,20
SplashandDash,Services,2016-05-24T19:07:00Z,27
SplashandDash,Services,2016-05-24T19:25:00Z,18
SplashandDash,Services,2016-05-24T19:26:00Z,15
SplashandDash,Services,2016-05-24T19:43:00Z,30
SplashandDash,Services,2016-05-24T16:21:00Z,45
SplashandDash,Services,2016-05-24T17:25:00Z,55
SplashandDash,Services,2016-05-24T18:04:00Z,10
SplashandDash,Services,2016-05-24T18:25:00Z,40
SplashandDash,Services,2016-05-24T18:37:00Z,25
SplashandDash,Services,2016-05-24T20:09:00Z,-125
SplashandDash,Services,2016-05-24T20:13:00Z,18
SplashandDash,Services,2016-05-24T20:17:00Z,-29.58
SplashandDash,Services,2016-05-24T20:40:00Z,-4.81
SplashandDash,Services,2016-05-24T22:16:00Z,20
SplashandDash,Services,2016-05-24T22:54:00Z,18
SplashandDash,Services,2016-05-25T16:35:00Z,-18.17
SplashandDash,Services,2016-05-25T17:01:00Z,50
SplashandDash,Services,2016-05-25T17:55:00Z,27
SplashandDash,Services,2016-05-25T18:07:00Z,30
SplashandDash,Services,2016-05-25T20:20:00Z,10
SplashandDash,Services,2016-05-25T20:39:00Z,10
