,,,,,Waitlist # at end of day,
Person ID,Course Sec,Registration Date,Status,Waitlist Reason,Day -89,Day -88
1491565,FDMAT108-14,6/13/2016 4:14:00 PM,Registered,,,
1491565,FDMAT108-14,6/13/2016 4:22:00 PM,Dropped,,,
1482339,FDMAT108-14,6/14/2016 6:08:00 AM,Registered,,,
1483780,FDMAT108-14,6/14/2016 6:24:00 AM,Registered,,,
1483031,FDMAT108-14,6/14/2016 6:29:00 AM,Registered,,,
1483780,FDMAT108-14,6/14/2016 6:34:00 AM,Dropped,,,
1478889,FDMAT108-14,6/14/2016 3:47:00 PM,Registered,,,
1411948,FDMAT108-14,6/14/2016 6:51:00 PM,Registered,,,
1411948,FDMAT108-14,6/14/2016 8:01:00 PM,Dropped,,,
1411948,FDMAT108-14,6/14/2016 8:05:00 PM,Registered,,,
1411948,FDMAT108-14,6/14/2016 8:11:00 PM,Dropped,,,
1490174,FDMAT108-14,6/15/2016 6:03:00 AM,Registered,,,
1490711,FDMAT108-14,6/15/2016 6:06:00 AM,Registered,,,
1483552,FDMAT108-14,6/15/2016 6:07:00 AM,Registered,,,
1500660,FDMAT108-14,6/15/2016 6:09:00 AM,Registered,,,
1488295,FDMAT108-14,6/15/2016 6:11:00 AM,Registered,,,
1477150,FDMAT108-14,6/15/2016 6:13:00 AM,Registered,,,
1484565,FDMAT108-14,6/15/2016 6:15:00 AM,Registered,,,
1496109,FDMAT108-14,6/15/2016 6:16:00 AM,Registered,,,
1477982,FDMAT108-14,6/15/2016 6:17:00 AM,Registered,,,
1479572,FDMAT108-14,6/15/2016 6:18:00 AM,Registered,,,
1488295,FDMAT108-14,6/15/2016 6:19:00 AM,Dropped,,,
1488295,FDMAT108-14,6/15/2016 6:20:00 AM,Registered,,,
1488295,FDMAT108-14,6/15/2016 6:21:00 AM,Dropped,,,
1487230,FDMAT108-14,6/15/2016 6:22:00 AM,Registered,,,
1485326,FDMAT108-14,6/15/2016 6:24:00 AM,Registered,,,
1505314,FDMAT108-14,6/15/2016 6:24:00 AM,Registered,,,
1487230,FDMAT108-14,6/15/2016 6:26:00 AM,Dropped,,,
1491193,FDMAT108-14,6/15/2016 6:27:00 AM,Registered,,,
1508320,FDMAT108-14,6/15/2016 6:27:00 AM,Registered,,,
1485326,FDMAT108-14,6/15/2016 6:28:00 AM,Dropped,,,
1477982,FDMAT108-14,6/15/2016 6:29:00 AM,Dropped,,,
1475858,FDMAT108-14,6/15/2016 6:30:00 AM,Registered,,,
1485326,FDMAT108-14,6/15/2016 6:30:00 AM,Registered,,,
1490492,FDMAT108-14,6/15/2016 6:30:00 AM,Registered,,,
1491193,FDMAT108-14,6/15/2016 6:30:00 AM,Dropped,,,
1486808,FDMAT108-14,6/15/2016 6:31:00 AM,Registered,,,
1479572,FDMAT108-14,6/15/2016 6:34:00 AM,Dropped,,,
1486808,FDMAT108-14,6/15/2016 6:37:00 AM,Dropped,,,
1485922,FDMAT108-14,6/15/2016 6:41:00 AM,Registered,,,
1485875,FDMAT108-14,6/15/2016 6:44:00 AM,Registered,,,
1483688,FDMAT108-14,6/15/2016 6:46:00 AM,Registered,,,
1484291,FDMAT108-14,6/15/2016 6:51:00 AM,Registered,,,
1491692,FDMAT108-14,6/15/2016 6:56:00 AM,Registered,,,
1497480,FDMAT108-14,6/15/2016 7:01:00 AM,Registered,,,
1475320,FDMAT108-14,6/15/2016 7:21:00 AM,Registered,,,
1493896,FDMAT108-14,6/15/2016 7:23:00 AM,Registered,,,
1493528,FDMAT108-14,6/15/2016 7:25:00 AM,Registered,,,
1509742,FDMAT108-14,6/15/2016 7:25:00 AM,Registered,,,
1509742,FDMAT108-14,6/15/2016 7:27:00 AM,Dropped,,,
1492482,FDMAT108-14,6/15/2016 7:29:00 AM,Registered,,,
1483574,FDMAT108-14,6/15/2016 7:37:00 AM,Registered,,,
1494991,FDMAT108-14,6/15/2016 7:37:00 AM,Registered,,,
1494991,FDMAT108-14,6/15/2016 7:38:00 AM,Dropped,,,
1494991,FDMAT108-14,6/15/2016 7:40:00 AM,Registered,,,
1488610,FDMAT108-14,6/15/2016 7:48:00 AM,Registered,,,
1493528,FDMAT108-14,6/15/2016 7:53:00 AM,Dropped,,,
1480001,FDMAT108-14,6/15/2016 7:59:00 AM,Registered,,,
1482513,FDMAT108-14,6/15/2016 8:06:00 AM,Registered,,,
1489564,FDMAT108-14,6/15/2016 8:07:00 AM,Registered,,,
1475858,FDMAT108-14,6/15/2016 8:09:00 AM,Dropped,,,
1491159,FDMAT108-14,6/15/2016 8:09:00 AM,Registered,,,
1494869,FDMAT108-14,6/15/2016 8:19:00 AM,Registered,,,
1501134,FDMAT108-14,6/15/2016 8:22:00 AM,Registered,,,
1480001,FDMAT108-14,6/15/2016 8:24:00 AM,Dropped,,,
1499725,FDMAT108-14,6/15/2016 8:24:00 AM,Registered,,,
1483509,FDMAT108-14,6/15/2016 8:49:00 AM,Registered,,,
1333953,FDMAT108-14,6/15/2016 8:52:00 AM,Registered,,,
1479508,FDMAT108-14,6/15/2016 8:57:00 AM,Registered,,,
1493097,FDMAT108-14,6/15/2016 8:59:00 AM,Registered,,,
1487697,FDMAT108-14,6/15/2016 9:01:00 AM,Registered,,,
1394710,FDMAT108-14,6/15/2016 9:02:00 AM,Registered,,,
